title,context,question,answer,answer_start,answer_end
Central_African_Republic,"The Central African Republic (CAR; Sango: Ködörösêse tî Bêafrîka; French: République centrafricaine  pronounced: [ʁepyblik sɑ̃tʁafʁikɛn], or Centrafrique [sɑ̃tʀafʁik]) is a landlocked country in Central Africa. It is bordered by Chad to the north, Sudan to the northeast, South Sudan to the east, the Democratic Republic of the Congo and the Republic of the Congo to the south and Cameroon to the west. The CAR covers a land area of about 620,000 square kilometres (240,000 sq mi) and had an estimated population of around 4.7 million as of 2014[update].",What country borders CAR in the North?,Chad,229,233
Central_African_Republic,"The Central African Republic (CAR; Sango: Ködörösêse tî Bêafrîka; French: République centrafricaine  pronounced: [ʁepyblik sɑ̃tʁafʁikɛn], or Centrafrique [sɑ̃tʀafʁik]) is a landlocked country in Central Africa. It is bordered by Chad to the north, Sudan to the northeast, South Sudan to the east, the Democratic Republic of the Congo and the Republic of the Congo to the south and Cameroon to the west. The CAR covers a land area of about 620,000 square kilometres (240,000 sq mi) and had an estimated population of around 4.7 million as of 2014[update].",What Country borders CAR in the South?,the Republic of the Congo,338,363
Central_African_Republic,"The Central African Republic (CAR; Sango: Ködörösêse tî Bêafrîka; French: République centrafricaine  pronounced: [ʁepyblik sɑ̃tʁafʁikɛn], or Centrafrique [sɑ̃tʀafʁik]) is a landlocked country in Central Africa. It is bordered by Chad to the north, Sudan to the northeast, South Sudan to the east, the Democratic Republic of the Congo and the Republic of the Congo to the south and Cameroon to the west. The CAR covers a land area of about 620,000 square kilometres (240,000 sq mi) and had an estimated population of around 4.7 million as of 2014[update].",What Country borders CAR in the West?,Cameroon,381,389
Central_African_Republic,"The Central African Republic (CAR; Sango: Ködörösêse tî Bêafrîka; French: République centrafricaine  pronounced: [ʁepyblik sɑ̃tʁafʁikɛn], or Centrafrique [sɑ̃tʀafʁik]) is a landlocked country in Central Africa. It is bordered by Chad to the north, Sudan to the northeast, South Sudan to the east, the Democratic Republic of the Congo and the Republic of the Congo to the south and Cameroon to the west. The CAR covers a land area of about 620,000 square kilometres (240,000 sq mi) and had an estimated population of around 4.7 million as of 2014[update].",What is the population of CAR approximately?,4.7 million,523,534
Diarrhea,"Diarrhea, also spelled diarrhoea, is the condition of having at least three loose or liquid bowel movements each day. It often lasts for a few days and can result in dehydration due to fluid loss. Signs of dehydration often begin with loss of the normal stretchiness of the skin and irritable behaviour. This can progress to decreased urination, loss of skin color, a fast heart rate, and a decrease in responsiveness as it becomes more severe. Loose but non-watery stools in babies who are breastfed, however, may be normal.",What is diarrhea?,the condition of having at least three loose or liquid bowel movements each day,37,116
Diarrhea,"Diarrhea, also spelled diarrhoea, is the condition of having at least three loose or liquid bowel movements each day. It often lasts for a few days and can result in dehydration due to fluid loss. Signs of dehydration often begin with loss of the normal stretchiness of the skin and irritable behaviour. This can progress to decreased urination, loss of skin color, a fast heart rate, and a decrease in responsiveness as it becomes more severe. Loose but non-watery stools in babies who are breastfed, however, may be normal.",What is one of the effects of diarrhea?,can result in dehydration due to fluid loss,152,195
Diarrhea,"Diarrhea, also spelled diarrhoea, is the condition of having at least three loose or liquid bowel movements each day. It often lasts for a few days and can result in dehydration due to fluid loss. Signs of dehydration often begin with loss of the normal stretchiness of the skin and irritable behaviour. This can progress to decreased urination, loss of skin color, a fast heart rate, and a decrease in responsiveness as it becomes more severe. Loose but non-watery stools in babies who are breastfed, however, may be normal.",What are the warning signs of dehydration?,loss of the normal stretchiness of the skin and irritable behaviour,235,302
Diarrhea,"Diarrhea, also spelled diarrhoea, is the condition of having at least three loose or liquid bowel movements each day. It often lasts for a few days and can result in dehydration due to fluid loss. Signs of dehydration often begin with loss of the normal stretchiness of the skin and irritable behaviour. This can progress to decreased urination, loss of skin color, a fast heart rate, and a decrease in responsiveness as it becomes more severe. Loose but non-watery stools in babies who are breastfed, however, may be normal.",What are other signs of dehydration?,"decreased urination, loss of skin color, a fast heart rate, and a decrease in responsiveness",325,417
Diarrhea,"The most common cause is an infection of the intestines due to either a virus, bacteria, or parasite; a condition known as gastroenteritis. These infections are often acquired from food or water that has been contaminated by stool, or directly from another person who is infected. It may be divided into three types: short duration watery diarrhea, short duration bloody diarrhea, and if it lasts for more than two weeks, persistent diarrhea. The short duration watery diarrhea may be due to an infection by cholera, although this is rare in the developed world. If blood is present it is also known as dysentery. A number of non-infectious causes may also result in diarrhea, including hyperthyroidism, lactose intolerance, inflammatory bowel disease, a number of medications, and irritable bowel syndrome. In most cases, stool cultures are not required to confirm the exact cause.",What is the most common cause of diarrhea?,an infection of the intestines,25,55
Myocardial_infarction,"Myocardial infarction (MI) or acute myocardial infarction (AMI), commonly known as a heart attack, occurs when blood flow stops to a part of the heart causing damage to the heart muscle. The most common symptom is chest pain or discomfort which may travel into the shoulder, arm, back, neck, or jaw. Often it is in the center or left side of the chest and lasts for more than a few minutes. The discomfort may occasionally feel like heartburn. Other symptoms may include shortness of breath, nausea, feeling faint, a cold sweat, or feeling tired. About 30% of people have atypical symptoms, with women more likely than men to present atypically. Among those over 75 years old, about 5% have had an MI with little or no history of symptoms. An MI may cause heart failure, an irregular heartbeat, or cardiac arrest.",What does MI stand for?,Myocardial infarction,0,21
Myocardial_infarction,"Myocardial infarction (MI) or acute myocardial infarction (AMI), commonly known as a heart attack, occurs when blood flow stops to a part of the heart causing damage to the heart muscle. The most common symptom is chest pain or discomfort which may travel into the shoulder, arm, back, neck, or jaw. Often it is in the center or left side of the chest and lasts for more than a few minutes. The discomfort may occasionally feel like heartburn. Other symptoms may include shortness of breath, nausea, feeling faint, a cold sweat, or feeling tired. About 30% of people have atypical symptoms, with women more likely than men to present atypically. Among those over 75 years old, about 5% have had an MI with little or no history of symptoms. An MI may cause heart failure, an irregular heartbeat, or cardiac arrest.",WHat percentage of people suffer from atypical symptoms?,30%,553,556
Myocardial_infarction,"Myocardial infarction (MI) or acute myocardial infarction (AMI), commonly known as a heart attack, occurs when blood flow stops to a part of the heart causing damage to the heart muscle. The most common symptom is chest pain or discomfort which may travel into the shoulder, arm, back, neck, or jaw. Often it is in the center or left side of the chest and lasts for more than a few minutes. The discomfort may occasionally feel like heartburn. Other symptoms may include shortness of breath, nausea, feeling faint, a cold sweat, or feeling tired. About 30% of people have atypical symptoms, with women more likely than men to present atypically. Among those over 75 years old, about 5% have had an MI with little or no history of symptoms. An MI may cause heart failure, an irregular heartbeat, or cardiac arrest.",What is the most common symptom of MI?,chest pain or discomfort,214,238
Myocardial_infarction,"Myocardial infarction (MI) or acute myocardial infarction (AMI), commonly known as a heart attack, occurs when blood flow stops to a part of the heart causing damage to the heart muscle. The most common symptom is chest pain or discomfort which may travel into the shoulder, arm, back, neck, or jaw. Often it is in the center or left side of the chest and lasts for more than a few minutes. The discomfort may occasionally feel like heartburn. Other symptoms may include shortness of breath, nausea, feeling faint, a cold sweat, or feeling tired. About 30% of people have atypical symptoms, with women more likely than men to present atypically. Among those over 75 years old, about 5% have had an MI with little or no history of symptoms. An MI may cause heart failure, an irregular heartbeat, or cardiac arrest.",How long can the pain of MI last?,more than a few minutes,366,389
Myocardial_infarction,"Myocardial infarction (MI) or acute myocardial infarction (AMI), commonly known as a heart attack, occurs when blood flow stops to a part of the heart causing damage to the heart muscle. The most common symptom is chest pain or discomfort which may travel into the shoulder, arm, back, neck, or jaw. Often it is in the center or left side of the chest and lasts for more than a few minutes. The discomfort may occasionally feel like heartburn. Other symptoms may include shortness of breath, nausea, feeling faint, a cold sweat, or feeling tired. About 30% of people have atypical symptoms, with women more likely than men to present atypically. Among those over 75 years old, about 5% have had an MI with little or no history of symptoms. An MI may cause heart failure, an irregular heartbeat, or cardiac arrest.",What can the discomfort of MI feel like?,heartburn,433,442
Phonology,"Phonology is a branch of linguistics concerned with the systematic organization of sounds in languages. It has traditionally focused largely on the study of the systems of phonemes in particular languages (and therefore used to be also called phonemics, or phonematics), but it may also cover any linguistic analysis either at a level beneath the word (including syllable, onset and rime, articulatory gestures, articulatory features, mora, etc.) or at all levels of language where sound is considered to be structured for conveying linguistic meaning. Phonology also includes the study of equivalent organizational systems in sign languages.",What is phonology a branch of?,linguistics,25,36
Phonology,"Phonology is a branch of linguistics concerned with the systematic organization of sounds in languages. It has traditionally focused largely on the study of the systems of phonemes in particular languages (and therefore used to be also called phonemics, or phonematics), but it may also cover any linguistic analysis either at a level beneath the word (including syllable, onset and rime, articulatory gestures, articulatory features, mora, etc.) or at all levels of language where sound is considered to be structured for conveying linguistic meaning. Phonology also includes the study of equivalent organizational systems in sign languages.",What kind of systems are the traditional focus of phonology? ,phonemes,172,180
Phonology,"Phonology is a branch of linguistics concerned with the systematic organization of sounds in languages. It has traditionally focused largely on the study of the systems of phonemes in particular languages (and therefore used to be also called phonemics, or phonematics), but it may also cover any linguistic analysis either at a level beneath the word (including syllable, onset and rime, articulatory gestures, articulatory features, mora, etc.) or at all levels of language where sound is considered to be structured for conveying linguistic meaning. Phonology also includes the study of equivalent organizational systems in sign languages.",The study of sign language is a part of what?,Phonology,553,562
Phonology,"The word phonology (as in the phonology of English) can also refer to the phonological system (sound system) of a given language. This is one of the fundamental systems which a language is considered to comprise, like its syntax and its vocabulary.",What part of a language can phonology as a word also refer to?,the phonological system,70,93
Phonology,"The word phonology (as in the phonology of English) can also refer to the phonological system (sound system) of a given language. This is one of the fundamental systems which a language is considered to comprise, like its syntax and its vocabulary.",What is another term for phonological system?,sound system,95,107
Great_power,"A great power is a sovereign state that is recognized as having the ability and expertise to exert its influence on a global scale. Great powers characteristically possess military and economic strength, as well as diplomatic and soft power influence, which may cause middle or small powers to consider the great powers' opinions before taking actions of their own. International relations theorists have posited that great power status can be characterized into power capabilities, spatial aspects, and status dimensions. Sometimes the status of great powers is formally recognized in conferences such as the Congress of Vienna or an international structure such as the United Nations Security Council (China, France, Russia, the United Kingdom and the United States serve as the body's five permanent members). At the same time the status of great powers can be informally recognized in a forum such as the G7 which consists of Canada, France, Germany, Italy, Japan, the United Kingdom and the United States of America.",What is a nation which can exert its influence on a global scale called?,A great power,0,13
Great_power,"A great power is a sovereign state that is recognized as having the ability and expertise to exert its influence on a global scale. Great powers characteristically possess military and economic strength, as well as diplomatic and soft power influence, which may cause middle or small powers to consider the great powers' opinions before taking actions of their own. International relations theorists have posited that great power status can be characterized into power capabilities, spatial aspects, and status dimensions. Sometimes the status of great powers is formally recognized in conferences such as the Congress of Vienna or an international structure such as the United Nations Security Council (China, France, Russia, the United Kingdom and the United States serve as the body's five permanent members). At the same time the status of great powers can be informally recognized in a forum such as the G7 which consists of Canada, France, Germany, Italy, Japan, the United Kingdom and the United States of America.",What two dominant traits do great powers usually possess?,military and economic strength,172,202
Great_power,"A great power is a sovereign state that is recognized as having the ability and expertise to exert its influence on a global scale. Great powers characteristically possess military and economic strength, as well as diplomatic and soft power influence, which may cause middle or small powers to consider the great powers' opinions before taking actions of their own. International relations theorists have posited that great power status can be characterized into power capabilities, spatial aspects, and status dimensions. Sometimes the status of great powers is formally recognized in conferences such as the Congress of Vienna or an international structure such as the United Nations Security Council (China, France, Russia, the United Kingdom and the United States serve as the body's five permanent members). At the same time the status of great powers can be informally recognized in a forum such as the G7 which consists of Canada, France, Germany, Italy, Japan, the United Kingdom and the United States of America.","China, France, Russia, the United Kingdom, and the United States serve as what body's five permanent members?",United Nations Security Council,671,702
Great_power,"A great power is a sovereign state that is recognized as having the ability and expertise to exert its influence on a global scale. Great powers characteristically possess military and economic strength, as well as diplomatic and soft power influence, which may cause middle or small powers to consider the great powers' opinions before taking actions of their own. International relations theorists have posited that great power status can be characterized into power capabilities, spatial aspects, and status dimensions. Sometimes the status of great powers is formally recognized in conferences such as the Congress of Vienna or an international structure such as the United Nations Security Council (China, France, Russia, the United Kingdom and the United States serve as the body's five permanent members). At the same time the status of great powers can be informally recognized in a forum such as the G7 which consists of Canada, France, Germany, Italy, Japan, the United Kingdom and the United States of America.",What two lesser traits do great powers usually possess?,diplomatic and soft power influence,215,250
Great_power,"A great power is a sovereign state that is recognized as having the ability and expertise to exert its influence on a global scale. Great powers characteristically possess military and economic strength, as well as diplomatic and soft power influence, which may cause middle or small powers to consider the great powers' opinions before taking actions of their own. International relations theorists have posited that great power status can be characterized into power capabilities, spatial aspects, and status dimensions. Sometimes the status of great powers is formally recognized in conferences such as the Congress of Vienna or an international structure such as the United Nations Security Council (China, France, Russia, the United Kingdom and the United States serve as the body's five permanent members). At the same time the status of great powers can be informally recognized in a forum such as the G7 which consists of Canada, France, Germany, Italy, Japan, the United Kingdom and the United States of America.","Canada, France, Germany, Italy, Japan, the United Kingdom, and the United States are part of what international forum?",the G7,905,911
Spanish_language_in_the_United_States,"The Spanish language is the second most spoken language in the United States. There are 45 million Hispanophones who speak Spanish as a first or second language in the United States, as well as six million Spanish language students. Together, this makes the United States of America the second largest Hispanophone country in the world after Mexico, and with the United States having more Spanish-speakers than Colombia and Spain (but fewer first language speakers). Spanish is the Romance language and the Indo-European language with the largest number of native speakers in the world. Roughly half of all American Spanish-speakers also speak English ""very well,"" based on their self-assessment in the U.S. Census.",How many people speak Spanish as a first or second language in the United States?,"There are 45 million Hispanophones who speak Spanish as a first or second language in the United States,",78,182
Spanish_language_in_the_United_States,"The Spanish language is the second most spoken language in the United States. There are 45 million Hispanophones who speak Spanish as a first or second language in the United States, as well as six million Spanish language students. Together, this makes the United States of America the second largest Hispanophone country in the world after Mexico, and with the United States having more Spanish-speakers than Colombia and Spain (but fewer first language speakers). Spanish is the Romance language and the Indo-European language with the largest number of native speakers in the world. Roughly half of all American Spanish-speakers also speak English ""very well,"" based on their self-assessment in the U.S. Census.",How many Hispanics speak English too?,"Roughly half of all American Spanish-speakers also speak English ""very well,"" based on their self-assessment in the U.S. Census.",587,715
Spanish_language_in_the_United_States,"The Spanish language is the second most spoken language in the United States. There are 45 million Hispanophones who speak Spanish as a first or second language in the United States, as well as six million Spanish language students. Together, this makes the United States of America the second largest Hispanophone country in the world after Mexico, and with the United States having more Spanish-speakers than Colombia and Spain (but fewer first language speakers). Spanish is the Romance language and the Indo-European language with the largest number of native speakers in the world. Roughly half of all American Spanish-speakers also speak English ""very well,"" based on their self-assessment in the U.S. Census.",What type of language id Spanish?,Spanish is the Romance language and the Indo-European language with the largest number of native speakers in the world.,467,586
Spanish_language_in_the_United_States,"The Spanish language is the second most spoken language in the United States. There are 45 million Hispanophones who speak Spanish as a first or second language in the United States, as well as six million Spanish language students. Together, this makes the United States of America the second largest Hispanophone country in the world after Mexico, and with the United States having more Spanish-speakers than Colombia and Spain (but fewer first language speakers). Spanish is the Romance language and the Indo-European language with the largest number of native speakers in the world. Roughly half of all American Spanish-speakers also speak English ""very well,"" based on their self-assessment in the U.S. Census.",What other language is often spoken in the United states?,The Spanish language is the second most spoken language in the United States.,0,77
Spanish_language_in_the_United_States,"The Spanish language is the second most spoken language in the United States. There are 45 million Hispanophones who speak Spanish as a first or second language in the United States, as well as six million Spanish language students. Together, this makes the United States of America the second largest Hispanophone country in the world after Mexico, and with the United States having more Spanish-speakers than Colombia and Spain (but fewer first language speakers). Spanish is the Romance language and the Indo-European language with the largest number of native speakers in the world. Roughly half of all American Spanish-speakers also speak English ""very well,"" based on their self-assessment in the U.S. Census.",How many Spanish speaking students are there in the United States?,six million Spanish language students.,194,232
Georgian_architecture,"Georgian architecture is the name given in most English-speaking countries to the set of architectural styles current between 1714 and 1830. It is eponymous for the first four British monarchs of the House of Hanover—George I, George II, George III, and George IV—who reigned in continuous succession from August 1714 to June 1830. The style was revived in the late 19th century in the United States as Colonial Revival architecture and in the early 20th century in Great Britain as Neo-Georgian architecture; in both it is also called Georgian Revival architecture. In America the term ""Georgian"" is generally used to describe all building from the period, regardless of style; in Britain it is generally restricted to buildings that are ""architectural in intention"", and have stylistic characteristics that are typical of the period, though that covers a wide range.",Who were the British monarchs of the House of Hanover from August 1714 to June 1830?,"George I, George II, George III, and George IV",217,263
Georgian_architecture,"Georgian architecture is the name given in most English-speaking countries to the set of architectural styles current between 1714 and 1830. It is eponymous for the first four British monarchs of the House of Hanover—George I, George II, George III, and George IV—who reigned in continuous succession from August 1714 to June 1830. The style was revived in the late 19th century in the United States as Colonial Revival architecture and in the early 20th century in Great Britain as Neo-Georgian architecture; in both it is also called Georgian Revival architecture. In America the term ""Georgian"" is generally used to describe all building from the period, regardless of style; in Britain it is generally restricted to buildings that are ""architectural in intention"", and have stylistic characteristics that are typical of the period, though that covers a wide range.",What was the 19th century revival of Georgian architecture in the United States referred to as?,Colonial Revival,403,419
Georgian_architecture,"Georgian architecture is the name given in most English-speaking countries to the set of architectural styles current between 1714 and 1830. It is eponymous for the first four British monarchs of the House of Hanover—George I, George II, George III, and George IV—who reigned in continuous succession from August 1714 to June 1830. The style was revived in the late 19th century in the United States as Colonial Revival architecture and in the early 20th century in Great Britain as Neo-Georgian architecture; in both it is also called Georgian Revival architecture. In America the term ""Georgian"" is generally used to describe all building from the period, regardless of style; in Britain it is generally restricted to buildings that are ""architectural in intention"", and have stylistic characteristics that are typical of the period, though that covers a wide range.",Between what years was Georgian architecture in style?,between 1714 and 1830,118,139
Georgian_architecture,"Georgian architecture is the name given in most English-speaking countries to the set of architectural styles current between 1714 and 1830. It is eponymous for the first four British monarchs of the House of Hanover—George I, George II, George III, and George IV—who reigned in continuous succession from August 1714 to June 1830. The style was revived in the late 19th century in the United States as Colonial Revival architecture and in the early 20th century in Great Britain as Neo-Georgian architecture; in both it is also called Georgian Revival architecture. In America the term ""Georgian"" is generally used to describe all building from the period, regardless of style; in Britain it is generally restricted to buildings that are ""architectural in intention"", and have stylistic characteristics that are typical of the period, though that covers a wide range.",What was the name given to the 20th century Great British revival Georgian architecture.,Neo-Georgian,483,495
Georgian_architecture,"Georgian architecture is the name given in most English-speaking countries to the set of architectural styles current between 1714 and 1830. It is eponymous for the first four British monarchs of the House of Hanover—George I, George II, George III, and George IV—who reigned in continuous succession from August 1714 to June 1830. The style was revived in the late 19th century in the United States as Colonial Revival architecture and in the early 20th century in Great Britain as Neo-Georgian architecture; in both it is also called Georgian Revival architecture. In America the term ""Georgian"" is generally used to describe all building from the period, regardless of style; in Britain it is generally restricted to buildings that are ""architectural in intention"", and have stylistic characteristics that are typical of the period, though that covers a wide range.",What was the name of the house of the monarchs in power from 1714 and 1830?,House of Hanover,200,216
Neoclassical_architecture,"Many early 19th-century neoclassical architects were influenced by the drawings and projects of Étienne-Louis Boullée and Claude Nicolas Ledoux. The many graphite drawings of Boullée and his students depict spare geometrical architecture that emulates the eternality of the universe. There are links between Boullée's ideas and Edmund Burke's conception of the sublime. Ledoux addressed the concept of architectural character, maintaining that a building should immediately communicate its function to the viewer: taken literally such ideas give rise to ""architecture parlante"".",Who influenced many 19th century neoclassical architects?,Étienne-Louis Boullée and Claude Nicolas Ledoux,96,143
Neoclassical_architecture,"Many early 19th-century neoclassical architects were influenced by the drawings and projects of Étienne-Louis Boullée and Claude Nicolas Ledoux. The many graphite drawings of Boullée and his students depict spare geometrical architecture that emulates the eternality of the universe. There are links between Boullée's ideas and Edmund Burke's conception of the sublime. Ledoux addressed the concept of architectural character, maintaining that a building should immediately communicate its function to the viewer: taken literally such ideas give rise to ""architecture parlante"".",What do geometric architecture emulate of the universe?,eternality,256,266
Neoclassical_architecture,"Many early 19th-century neoclassical architects were influenced by the drawings and projects of Étienne-Louis Boullée and Claude Nicolas Ledoux. The many graphite drawings of Boullée and his students depict spare geometrical architecture that emulates the eternality of the universe. There are links between Boullée's ideas and Edmund Burke's conception of the sublime. Ledoux addressed the concept of architectural character, maintaining that a building should immediately communicate its function to the viewer: taken literally such ideas give rise to ""architecture parlante"".",What Edmund Burke concept is linked to Boullee's ideas?,sublime,361,368
Neoclassical_architecture,"Many early 19th-century neoclassical architects were influenced by the drawings and projects of Étienne-Louis Boullée and Claude Nicolas Ledoux. The many graphite drawings of Boullée and his students depict spare geometrical architecture that emulates the eternality of the universe. There are links between Boullée's ideas and Edmund Burke's conception of the sublime. Ledoux addressed the concept of architectural character, maintaining that a building should immediately communicate its function to the viewer: taken literally such ideas give rise to ""architecture parlante"".",What concept did Ledoux address?,architectural character,402,425
Neoclassical_architecture,"Many early 19th-century neoclassical architects were influenced by the drawings and projects of Étienne-Louis Boullée and Claude Nicolas Ledoux. The many graphite drawings of Boullée and his students depict spare geometrical architecture that emulates the eternality of the universe. There are links between Boullée's ideas and Edmund Burke's conception of the sublime. Ledoux addressed the concept of architectural character, maintaining that a building should immediately communicate its function to the viewer: taken literally such ideas give rise to ""architecture parlante"".","As a concept of neoclassical architecture, what should be immediately communicated to viewer?",building should immediately communicate its function,446,498
Swaziland,"At no more than 200 kilometres (120 mi) north to south and 130 kilometres (81 mi) east to west, Swaziland is one of the smallest countries in Africa. Despite its size, however, its climate and topography is diverse, ranging from a cool and mountainous highveld to a hot and dry lowveld. The population is primarily ethnic Swazis whose language is siSwati. They established their kingdom in the mid-18th century under the leadership of Ngwane III; the present boundaries were drawn up in 1881. After the Anglo-Boer War, Swaziland was a British protectorate from 1903 until 1967. It regained its independence on 6 September 1968.",How wide is Swaziland in miles??,81 mi,75,80
Swaziland,"At no more than 200 kilometres (120 mi) north to south and 130 kilometres (81 mi) east to west, Swaziland is one of the smallest countries in Africa. Despite its size, however, its climate and topography is diverse, ranging from a cool and mountainous highveld to a hot and dry lowveld. The population is primarily ethnic Swazis whose language is siSwati. They established their kingdom in the mid-18th century under the leadership of Ngwane III; the present boundaries were drawn up in 1881. After the Anglo-Boer War, Swaziland was a British protectorate from 1903 until 1967. It regained its independence on 6 September 1968.",What is the primary language spoken by the people in Swaziland?,siSwati,347,354
Swaziland,"At no more than 200 kilometres (120 mi) north to south and 130 kilometres (81 mi) east to west, Swaziland is one of the smallest countries in Africa. Despite its size, however, its climate and topography is diverse, ranging from a cool and mountainous highveld to a hot and dry lowveld. The population is primarily ethnic Swazis whose language is siSwati. They established their kingdom in the mid-18th century under the leadership of Ngwane III; the present boundaries were drawn up in 1881. After the Anglo-Boer War, Swaziland was a British protectorate from 1903 until 1967. It regained its independence on 6 September 1968.",In terms of size where does Swaziland rank within Africa in terms of country size?,one of the smallest,109,128
Swaziland,"At no more than 200 kilometres (120 mi) north to south and 130 kilometres (81 mi) east to west, Swaziland is one of the smallest countries in Africa. Despite its size, however, its climate and topography is diverse, ranging from a cool and mountainous highveld to a hot and dry lowveld. The population is primarily ethnic Swazis whose language is siSwati. They established their kingdom in the mid-18th century under the leadership of Ngwane III; the present boundaries were drawn up in 1881. After the Anglo-Boer War, Swaziland was a British protectorate from 1903 until 1967. It regained its independence on 6 September 1968.",When did the ethnic Swazis establish a kingdom?,mid-18th century,394,410
Swaziland,"At no more than 200 kilometres (120 mi) north to south and 130 kilometres (81 mi) east to west, Swaziland is one of the smallest countries in Africa. Despite its size, however, its climate and topography is diverse, ranging from a cool and mountainous highveld to a hot and dry lowveld. The population is primarily ethnic Swazis whose language is siSwati. They established their kingdom in the mid-18th century under the leadership of Ngwane III; the present boundaries were drawn up in 1881. After the Anglo-Boer War, Swaziland was a British protectorate from 1903 until 1967. It regained its independence on 6 September 1968.",Who was the leader of the 18th century Swazi kingdom?,Ngwane III,435,445
Translation,"The English word ""translation"" derives from the Latin translatio (which itself comes from trans- and from fero, the supine form of which is latum—together meaning ""a carrying across"" or ""a bringing across""). The modern Romance languages use equivalents of the English term ""translation"" that are derived from that same Latin source or from the alternative Latin traducere (""to lead across"" or ""to bring across""). The Slavic and Germanic languages (except in the case of the Dutch equivalent, ""vertaling""—a ""re-language-ing"") likewise use calques of these Latin sources.",What Latin word does the English word translation come from?,translatio,54,64
Translation,"The English word ""translation"" derives from the Latin translatio (which itself comes from trans- and from fero, the supine form of which is latum—together meaning ""a carrying across"" or ""a bringing across""). The modern Romance languages use equivalents of the English term ""translation"" that are derived from that same Latin source or from the alternative Latin traducere (""to lead across"" or ""to bring across""). The Slavic and Germanic languages (except in the case of the Dutch equivalent, ""vertaling""—a ""re-language-ing"") likewise use calques of these Latin sources.","What languages use equivalents of the English term ""translation"" that come from the same Latin source?",Romance,219,226
Translation,"The English word ""translation"" derives from the Latin translatio (which itself comes from trans- and from fero, the supine form of which is latum—together meaning ""a carrying across"" or ""a bringing across""). The modern Romance languages use equivalents of the English term ""translation"" that are derived from that same Latin source or from the alternative Latin traducere (""to lead across"" or ""to bring across""). The Slavic and Germanic languages (except in the case of the Dutch equivalent, ""vertaling""—a ""re-language-ing"") likewise use calques of these Latin sources.",What does Latin's traducere mean in English?,"""to lead across""",373,389
Translation,"The English word ""translation"" derives from the Latin translatio (which itself comes from trans- and from fero, the supine form of which is latum—together meaning ""a carrying across"" or ""a bringing across""). The modern Romance languages use equivalents of the English term ""translation"" that are derived from that same Latin source or from the alternative Latin traducere (""to lead across"" or ""to bring across""). The Slavic and Germanic languages (except in the case of the Dutch equivalent, ""vertaling""—a ""re-language-ing"") likewise use calques of these Latin sources.",Slavic and Germanic languages also use a similar loanword from what source?,Latin,555,560
Translation,"The English word ""translation"" derives from the Latin translatio (which itself comes from trans- and from fero, the supine form of which is latum—together meaning ""a carrying across"" or ""a bringing across""). The modern Romance languages use equivalents of the English term ""translation"" that are derived from that same Latin source or from the alternative Latin traducere (""to lead across"" or ""to bring across""). The Slavic and Germanic languages (except in the case of the Dutch equivalent, ""vertaling""—a ""re-language-ing"") likewise use calques of these Latin sources.","What does the Dutch word ""vertaling"" roughly translate to?","""re-language-ing""",506,523
Neolithic,"Traditionally considered the last part of the Stone Age, the Neolithic followed the terminal Holocene Epipaleolithic period and commenced with the beginning of farming, which produced the ""Neolithic Revolution"". It ended when metal tools became widespread (in the Copper Age or Bronze Age; or, in some geographical regions, in the Iron Age). The Neolithic is a progression of behavioral and cultural characteristics and changes, including the use of wild and domestic crops and of domesticated animals.",What era is commonly known as the final phase of the Stone Age?,the Neolithic,57,70
Neolithic,"Traditionally considered the last part of the Stone Age, the Neolithic followed the terminal Holocene Epipaleolithic period and commenced with the beginning of farming, which produced the ""Neolithic Revolution"". It ended when metal tools became widespread (in the Copper Age or Bronze Age; or, in some geographical regions, in the Iron Age). The Neolithic is a progression of behavioral and cultural characteristics and changes, including the use of wild and domestic crops and of domesticated animals.",What era preceded the Neolithic?,Holocene Epipaleolithic period,93,123
Neolithic,"Traditionally considered the last part of the Stone Age, the Neolithic followed the terminal Holocene Epipaleolithic period and commenced with the beginning of farming, which produced the ""Neolithic Revolution"". It ended when metal tools became widespread (in the Copper Age or Bronze Age; or, in some geographical regions, in the Iron Age). The Neolithic is a progression of behavioral and cultural characteristics and changes, including the use of wild and domestic crops and of domesticated animals.",What event is associated with the start of farming?,Neolithic Revolution,189,209
Neolithic,"Traditionally considered the last part of the Stone Age, the Neolithic followed the terminal Holocene Epipaleolithic period and commenced with the beginning of farming, which produced the ""Neolithic Revolution"". It ended when metal tools became widespread (in the Copper Age or Bronze Age; or, in some geographical regions, in the Iron Age). The Neolithic is a progression of behavioral and cultural characteristics and changes, including the use of wild and domestic crops and of domesticated animals.",What era saw an increase in metal tool use?,Copper Age,264,274
Neolithic,"The beginning of the Neolithic culture is considered to be in the Levant (Jericho, modern-day West Bank) about 10,200 – 8,800 BC. It developed directly from the Epipaleolithic Natufian culture in the region, whose people pioneered the use of wild cereals, which then evolved into true farming. The Natufian period was between 12,000 and 10,200 BC, and the so-called ""proto-Neolithic"" is now included in the Pre-Pottery Neolithic (PPNA) between 10,200 and 8,800 BC. As the Natufians had become dependent on wild cereals in their diet, and a sedentary way of life had begun among them, the climatic changes associated with the Younger Dryas are thought to have forced people to develop farming.",What time period marks the start of Neolithic culture?,"10,200 – 8,800 BC",111,128
